state,stateabb,year,binge_female,binge_male,binge_all,poverty
Alabama,AL,2011,7.9,20.2,13.7,
Alabama,AL,2012,7.0,18.2,12.3,
Alabama,AL,2013,6.5,16.3,11.2,
Alabama,AL,2014,6.8,17.9,12.0,
Alabama,AL,2015,7.5,16.2,11.6,
Alabama,AL,2016,8.8,17.6,13.0,
Alabama,AL,2017,8.0,17.4,12.4,
Alabama,AL,2018,7.9,17.8,12.6,
Alabama,AL,2019,8.9,16.4,12.4,
Alabama,AL,2020,8.7,18.1,13.2,
Alabama,AL,2021,8.2,17.3,12.5,
Alaska,AK,2011,15.6,26.0,20.8,
Alaska,AK,2012,12.7,20.5,16.8,
Alaska,AK,2013,14.8,23.8,19.5,
Alaska,AK,2014,14.8,25.3,20.2,
Alaska,AK,2015,16.4,23.9,20.3,
Alaska,AK,2016,15.1,21.0,18.2,
Alaska,AK,2017,13.8,24.9,19.7,
Alaska,AK,2018,11.6,19.8,15.9,
Alaska,AK,2019,11.1,20.3,15.9,
Alaska,AK,2020,13.2,22.1,17.9,
Alaska,AK,2021,14.3,20.5,17.5,
Arizona,AZ,2011,11.7,23.6,17.6,
Arizona,AZ,2012,9.7,21.1,15.3,
Arizona,AZ,2013,9.1,18.0,13.4,
Arizona,AZ,2014,9.1,21.1,14.9,
Arizona,AZ,2015,8.3,20.3,14.2,
Arizona,AZ,2016,10.1,21.3,15.6,
Arizona,AZ,2017,10.2,20.5,15.2,
Arizona,AZ,2018,11.3,20.3,15.6,
Arizona,AZ,2019,9.3,21.0,15.1,
Arizona,AZ,2020,10.0,18.8,14.3,
Arizona,AZ,2021,11.4,20.4,15.9,
Arkansas,AR,2011,9.2,19.2,14.1,
Arkansas,AR,2012,7.7,16.3,11.8,
Arkansas,AR,2013,8.0,17.5,12.5,
Arkansas,AR,2014,8.9,17.9,13.3,
Arkansas,AR,2015,8.8,19.8,14.1,
Arkansas,AR,2016,9.8,20.6,15.0,
Arkansas,AR,2017,11.1,19.5,15.2,
Arkansas,AR,2018,10.5,19.1,14.7,
Arkansas,AR,2019,9.5,18.2,13.7,
Arkansas,AR,2020,11.1,18.0,14.4,
Arkansas,AR,2021,8.7,17.1,12.7,
California,CA,2011,12.1,25.2,18.6,
California,CA,2012,10.9,23.2,16.9,
California,CA,2013,11.9,23.3,17.4,
California,CA,2014,11.1,20.3,15.6,
California,CA,2015,11.7,21.4,16.5,
California,CA,2016,11.2,21.5,16.3,
California,CA,2017,12.3,23.1,17.6,
California,CA,2018,10.4,21.9,16.1,
California,CA,2019,11.9,21.9,16.8,
California,CA,2020,11.4,20.8,16.0,
California,CA,2021,11.2,18.8,15.0,
Colorado,CO,2011,14.0,26.3,20.1,
Colorado,CO,2012,13.8,24.7,19.2,
Colorado,CO,2013,13.5,23.6,18.5,
Colorado,CO,2014,12.2,22.8,17.5,
Colorado,CO,2015,12.4,23.0,17.6,
Colorado,CO,2016,13.9,24.2,19.0,
Colorado,CO,2017,14.5,23.3,18.9,
Colorado,CO,2018,13.6,24.8,19.2,
Colorado,CO,2019,15.1,21.5,18.2,
Colorado,CO,2020,14.2,21.7,17.9,
Colorado,CO,2021,14.2,23.2,18.7,
Connecticut,CT,2011,11.9,24.4,17.9,
Connecticut,CT,2012,12.6,22.9,17.5,
Connecticut,CT,2013,12.5,24.3,18.2,
Connecticut,CT,2014,11.3,20.8,15.9,
Connecticut,CT,2015,11.1,23.1,16.9,
Connecticut,CT,2016,11.9,21.9,16.7,
Connecticut,CT,2017,11.7,19.5,15.4,
Connecticut,CT,2018,13.2,21.4,17.1,
Connecticut,CT,2019,12.0,19.6,15.6,
Connecticut,CT,2020,11.7,17.0,14.3,
Connecticut,CT,2021,11.0,16.5,13.6,
Delaware,DE,2011,13.9,27.2,20.3,
Delaware,DE,2012,14.0,23.6,18.6,
Delaware,DE,2013,12.0,22.4,17.0,
Delaware,DE,2014,10.8,21.0,15.7,
Delaware,DE,2015,12.4,17.8,14.9,
Delaware,DE,2016,13.7,20.6,17.0,
Delaware,DE,2017,11.8,18.1,14.8,
Delaware,DE,2018,11.9,21.2,16.4,
Delaware,DE,2019,12.8,22.1,17.2,
Delaware,DE,2020,9.8,19.3,14.3,
Delaware,DE,2021,9.7,16.4,12.9,
District of Columbia,DC,2011,19.5,31.3,25.0,
District of Columbia,DC,2012,19.6,27.2,23.1,
District of Columbia,DC,2013,17.1,28.2,22.4,
District of Columbia,DC,2014,19.4,31.2,24.9,
